ID,titulo,descricao,especialidadeID,data_abertura,data_encerramento,prioridadeID,statusID,computadorID,departamentoID,tecnicoID,usuarioID
1,Problema com a impressora,A impressora não está respondendo quando tento imprimir.,1,2023-08-01,2023-08-02,1,1,1,1,1,1
2,Erro ao acessar o software,Recebo uma mensagem de erro ao tentar abrir o software.,2,2023-08-02,2023-08-03,2,2,2,2,2,2
3,Computador lento,Meu computador está demorando muito para iniciar e executar programas.,3,2023-08-03,2023-08-04,3,3,3,3,3,3
4,Problema de conexão à rede,Não consigo me conectar à rede Wi-Fi da empresa.,4,2023-08-04,2023-08-05,4,4,4,4,4,4
5,Erro no email corporativo,Não estou conseguindo enviar ou receber emails pelo cliente de email.,1,2023-08-05,2023-08-06,5,1,5,5,5,5
6,Atualização de software necessária,Recebi uma notificação sobre uma atualização de software importante.,2,2023-08-06,2023-08-07,6,2,6,1,6,6
7,Tela do laptop quebrada,Deixei o laptop cair e agora a tela está quebrada.,3,2023-08-07,2023-08-08,1,3,7,2,7,7
8,Problema com o mouse,"O cursor do mouse não se move na tela, mesmo que o mouse esteja funcionando.",4,2023-08-08,2023-08-09,2,4,8,3,8,8
9,Senha de acesso esquecida,Esqueci minha senha de acesso à rede interna.,1,2023-08-09,2023-08-10,3,1,9,4,9,9
10,Erro na instalação do programa,Estou tendo problemas para instalar um novo programa no meu computador.,2,2023-08-10,2023-08-11,4,2,10,5,10,10
11,Problema com a impressora a laser,A impressora a laser está apresentando problemas ao imprimir documentos.,3,2023-08-11,2023-08-12,5,1,6,1,6,6
12,Aplicativo travando ao abrir arquivos grandes,O aplicativo fecha inesperadamente ao tentar abrir arquivos grandes.,1,2023-08-12,2023-08-13,2,2,7,2,7,7
13,Solicitação de redefinição de senha de email,Esqueci minha senha de email e gostaria de solicitar uma redefinição.,4,2023-08-13,2023-08-14,3,3,8,3,8,8
14,Erro ao acessar a VPN corporativa,Estou recebendo um erro ao tentar acessar a VPN da empresa.,2,2023-08-14,2023-08-15,4,4,9,4,9,6
15,Dispositivo móvel não está sincronizando emails,Meu dispositivo móvel não está sincronizando meus emails corporativos corretamente.,3,2023-08-15,2023-08-16,1,1,10,5,10,7
